Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
SG,33.6,7.2,15.7,0.457,1.7,4.9,0.339,3.4,5.1,0.672
PF,15.1,1.3,3.1,0.412,0.3,1.4,0.25,0.6,0.8,0.722
C,12,1.3,2.3,0.559,0,0.1,0,0.5,0.9,0.538
PF,21.3,1.3,3.8,0.347,0.6,2.5,0.258,0.2,0.7,0.346
SG,28.7,6,14.4,0.418,1.7,4.8,0.352,4.5,5.2,0.861
PF,19.5,2.1,4.6,0.446,1,2.7,0.359,0.8,1,0.86
PF,19.7,2.3,5.1,0.448,1.1,2.9,0.376,1,1.2,0.86
PF,18.9,1.5,3.4,0.439,0.7,2.3,0.308,0.4,0.4,0.857
C,13.4,2.2,3,0.727,0,0,,0.8,1.2,0.647
PG,5,0.5,1.6,0.313,0.2,0.7,0.286,0.2,0.2,1
PF,27.8,8.8,15,0.583,0.3,0.6,0.429,4.8,7.4,0.64
PF,9.8,1.4,3.6,0.394,0.5,2,0.247,0.3,0.5,0.611
SF,32,4.5,11.7,0.388,0.5,2.5,0.222,1.6,2.5,0.667
PF,21.4,4.6,8.2,0.567,0.9,2.3,0.386,2.9,3.9,0.744
SG,21.5,2.6,5.6,0.462,0.6,1.7,0.37,1.1,1.4,0.77
PG,11.3,1.8,5,0.35,0.5,2.5,0.2,0.8,1,0.75
PF,24.9,4.2,9.4,0.448,1.2,3.5,0.356,0.7,1.1,0.583
PG,35.3,9.1,20.8,0.437,3.4,9.5,0.361,8,9.3,0.86
C,23.1,4.3,8.3,0.524,0.3,1.3,0.24,2.1,3.1,0.682
C,2,0.5,2,0.25,0,0,,0,0,
C,10,1.9,3.3,0.569,0,0,,0.6,0.9,0.737
C,18.4,3.3,5.3,0.613,0,0,0,1.7,2.3,0.747
